intersection_id,hour_of_day,day_of_week,traffic_density,avg_speed,queue_length,waiting_time,pedestrian_count,emergency_vehicle,weather_condition,road_type,lane_count,green_time,red_time,yellow_time
103,19,6,0.9074844989443117,54.50320120381116,9,170.08171599380208,66,1,2,2,3,77.51682557272471,15.883305424605243,7.310386242767406
180,0,6,0.6688052479389969,18.67263537471466,39,269.5248553671649,139,0,3,2,2,95.45609067109092,90.4064244960679,5.775958373201732
93,15,1,0.8822885941026212,47.110952653311294,43,144.70693867616774,74,0,2,1,3,44.14123417856244,51.29241172340353,5.815784005042271
15,15,0,0.2873255502313543,35.54917870991825,71,188.4184200369996,26,0,2,1,1,36.620401025467764,21.286536854123398,5.690630270655181
107,9,1,0.9109244812978545,11.444198843980915,59,19.197394943466822,59,0,1,1,5,49.267948126654616,78.36871808798469,8.053120728706826
72,23,6,0.942297569388679,57.59682874104828,63,262.5610670624587,192,0,2,3,5,118.62499065504565,12.144024500425193,5.5618021839554235
189,16,3,0.3563285330088629,37.85100238235778,55,244.93589680517843,35,1,1,1,5,33.55303229402848,12.10299854133017,8.994839974737632
21,9,5,0.4108300141228183,16.30506447309486,13,239.55757099610346,85,0,0,3,1,88.48790957577793,74.20375849852961,9.987514898701036
103,5,6,0.7398179747155366,44.619014866755734,51,177.86085808509114,69,0,0,1,2,65.45690093725574,38.40110971734318,4.0962951056169
122,13,2,0.4024618026791862,36.62620197336999,38,254.31682290556648,1,0,3,2,4,24.353111445284295,27.899188167798677,4.4620535069733815
75,14,5,0.9905512094716853,13.845409450429754,19,171.3265723913245,38,1,0,2,4,33.32595081614394,29.946962065544046,3.3085519229156386
88,3,2,0.35937650911058494,30.567015710430702,24,195.52560615601286,190,1,3,3,5,65.77951534545788,99.49665782011418,9.176268938086341
117,1,6,0.12598539733449968,34.85896636861732,5,13.156835397403668,45,0,2,3,2,18.15313888572841,99.92713688625086,8.808949009143888
100,18,2,0.8358661657542559,57.76167313417825,30,58.39487001004944,94,1,0,3,2,55.206826085089965,60.80905468021202,4.061499252622196
104,12,0,0.13896736979497015,42.09979589416116,1,65.55929132522758,39,1,3,2,4,96.46682481720977,15.534883501082145,7.22582002252975
152,11,2,0.9768338069403785,41.88329817388161,17,189.3154582716749,137,0,0,3,4,10.743978156190138,20.120083324222435,8.998165148570276
131,20,1,0.6399603678457505,55.41253299288172,69,112.17075570575327,98,1,0,1,3,84.66843480493141,97.84157425186145,3.1461051706618433
150,22,0,0.49537256102467675,11.036077177345318,64,279.78368753467095,154,1,1,2,5,71.0305452293359,21.33318013061871,7.6913959106911305
53,12,0,0.759320315994895,29.741424211304448,44,273.554044134766,21,1,1,1,3,88.30424949704694,57.7372282019671,7.786809164866092
2,14,5,0.7442533085459303,33.36900676606429,96,36.0276937408551,66,1,3,2,2,33.287333968073405,88.21183516813633,3.7552177639321425
88,1,3,0.4496717285921672,41.69183251465857,13,58.802083504757086,129,0,1,2,3,105.09567729909816,19.413571053318176,4.667023476150166
158,7,6,0.2925467240713333,56.320311114826964,23,210.34577996358988,5,1,2,1,3,113.43374321029073,52.17120447505078,7.721720175016982
38,2,1,0.8604224631269374,11.570667963044425,93,122.57269247409175,180,0,1,3,3,89.96947486194878,10.073150882242917,8.000739479998634
130,0,1,0.9297778870087522,12.18392838308264,67,241.75697860003658,7,0,3,1,1,101.3631078523996,63.77267150413424,5.566357213216221
192,23,6,0.9953747924011036,29.018193265989865,64,81.9521818253963,86,1,3,2,4,43.31415828160199,118.14175121748869,9.61120187032936
188,10,3,0.42691969908771155,43.01166004658042,62,231.15453557140552,35,1,2,2,5,85.21517663865006,95.17154847104426,3.157061837054769
21,8,6,0.6192332324871356,20.14565905361434,92,138.77974764122692,166,1,1,3,4,104.06581395240383,113.02939155103546,6.125352580368754
161,23,4,0.982947637186526,38.341677996805075,48,169.5209011221023,71,1,0,1,3,29.155404839072506,95.84114458035629,9.747764336936442
58,16,3,0.4712226928950094,16.962772016888024,64,112.08464405665664,186,0,0,2,4,20.443739532149184,108.39233888043142,7.234622274087451
22,6,4,0.8114382029650493,26.758862938526054,44,98.29666997728671,84,1,1,2,5,61.847863709532696,45.57012677156032,7.359746678549277
89,22,2,0.9457806395612943,59.46559785055443,6,138.38684348658202,59,1,2,2,3,32.96714973410792,82.16760872233087,4.003472842801911
49,3,2,0.26691447819727443,23.086722119562474,96,24.8587017839631,18,0,0,3,4,111.01369782172935,83.24857623415775,7.339431717618111
59,12,5,0.7521071665299827,46.954218878633206,59,131.96660979552044,163,0,3,2,3,67.60395850498497,114.07729180310118,7.2902964616062995
170,23,6,0.7326277800177178,45.62818533876792,48,223.17617802996656,114,1,3,2,1,77.81937668829656,76.2809410909106,9.784062454024877
188,4,2,0.4500617011996597,29.041175814626566,90,262.85188267602973,70,0,1,2,4,109.8247736346859,102.20680712210394,6.675732619406281
15,11,2,0.9828987210362903,32.316749063524,70,97.28176555166317,70,0,2,3,1,38.21691665499431,19.40094296723074,9.979451473018013
190,19,3,0.8801519117350302,50.10437708664188,13,136.30571173226005,143,1,0,1,5,16.028404765917927,31.712320140515804,7.690895680898168
190,4,2,0.994845538662972,13.000202229547817,50,43.04413607291609,47,0,0,3,5,65.70030767807307,98.36757584551648,7.062198722577337
175,10,6,0.5950670941013951,47.53756126553103,17,121.03992173893637,195,0,0,3,3,43.75686885913553,80.51195498345471,9.767984792109342
190,1,3,0.2999402877190537,37.50450093736668,48,97.15327594636469,34,1,3,3,2,24.252796222725937,89.33978870303284,5.280934266798539
51,3,5,0.35139960035913176,56.056403697723255,12,172.97879762833472,130,0,3,3,3,116.72245394046331,40.55292218169197,4.184947149874837
108,9,6,0.8123817702542514,35.49982858659188,75,124.2487806947311,98,1,1,1,1,12.237085607760195,54.11812720563342,4.91927554934837
55,23,1,0.42544908668009795,34.314237878192415,52,52.77431025444257,80,1,1,2,5,80.63728515359726,17.341264811251683,7.5099534499391165
64,6,1,0.29346481397866453,54.398964738475435,38,232.08530437962764,110,1,0,2,5,10.645143167571323,56.71089021815234,3.523385728973264
131,11,0,0.9296976204557598,31.43292366254647,46,255.83772606945035,30,1,0,1,5,110.02277518197519,81.30986825591614,4.302340126672228
51,7,1,0.40687179466936907,35.89186116530573,83,299.9270063251472,39,1,3,3,1,108.11896783559834,111.85690175777239,8.143798449267239
135,22,4,0.17346394137788362,44.770743218507114,27,161.8719146650027,172,1,1,1,3,91.90489654928746,64.90436397404252,7.1426350783336705
21,22,6,0.6098874136586601,25.324059081831425,74,101.55224574455637,176,1,3,2,4,67.56974699804998,97.3602729648688,6.990620179147593
73,22,4,0.5951995403264069,49.76934365086832,58,273.26053472983875,160,0,1,3,1,94.16216566739213,37.68909454793603,8.379607594624284
167,15,2,0.48008725872731595,48.95111938928383,85,261.4442048542949,181,0,3,2,4,71.65913637913322,84.63824021027665,5.952675964775611
18,1,6,0.5017609960774596,51.29730677776687,53,162.10716677931637,196,1,2,1,1,50.04886692927436,119.43058888198102,8.821681117215237
132,2,0,0.2977853089888385,58.81368794539558,91,246.24054410204067,77,1,0,1,4,71.9081292228418,52.24728140800695,6.409651676757713
89,16,3,0.3662424241191643,53.913394843635494,82,99.90211943371686,6,0,3,2,3,75.5818674677794,36.230511324771136,4.867338690541079
60,14,3,0.5379050803701514,43.06637270560467,48,88.6161145248629,59,1,3,3,1,75.99297235289953,50.56982447022203,8.313488794978499
14,17,5,0.9749141930920746,20.70613858962051,51,261.6570616810819,123,0,1,3,4,82.93357286990569,25.48142370481728,7.471282095095061
9,9,3,0.9821131833174859,37.2724481198548,14,296.3629054801934,132,1,2,1,2,58.184794176016034,13.333484317536133,6.6668203923732285
90,21,2,0.17847177148775828,18.592186322583185,0,282.19717491739823,132,0,1,3,1,12.014457753135964,13.014777960151289,6.210664309257499
53,1,0,0.9157327077156575,42.2482888006928,99,93.01693404664289,125,1,3,1,5,95.74241118778578,65.43067526575899,4.413083178086456
130,16,5,0.49610979030759184,49.04287825183203,27,70.33854948486892,100,0,1,3,5,20.66238878674027,116.6665240500462,9.06088603551885
84,15,1,0.5132178317027204,19.86532751408108,96,54.80921497303369,41,0,3,3,4,104.27393779994082,32.10601676531104,4.014971136338174
92,23,6,0.4233712148062697,13.059472604832596,56,222.77484619510992,56,0,0,1,1,39.27472488127418,21.106913931420713,3.30719879767358
111,6,5,0.8914548469908703,10.167737119061389,56,145.6914645788329,8,1,1,3,3,21.97389056941529,45.893242614241466,5.442467683760825
188,18,1,0.5114640739975104,58.366913671340065,1,72.04307970839913,159,0,0,2,3,44.47930571015877,81.63700590639212,6.400002213139878
199,15,2,0.10510831525343665,21.385807540044944,55,285.5568461128304,82,0,1,3,2,28.745289794622302,71.04348315187451,6.031522417283385
172,0,5,0.9418282006031806,39.103767387240524,84,198.41738565527837,0,0,1,1,1,78.73597416756465,113.00049603704498,6.691179926592044
8,3,4,0.9766879773257203,23.648679636752764,64,141.7917368483879,112,1,3,3,4,95.8927429980776,71.68798271594625,5.703576484240539
175,12,3,0.4891669281722051,34.81781610000965,51,61.74428858404185,48,0,1,2,1,65.31838049298005,15.229106301255165,6.672308137053607
35,9,5,0.4925123943864116,16.831603556808886,59,273.6006680007993,142,0,3,2,5,84.41392463784612,77.22238063690648,4.4337107010931955
81,10,4,0.11575980294613901,33.5387217837097,26,98.1128957043837,150,1,1,1,2,111.0286905066429,91.88427924279968,5.7927331352758715
164,18,1,0.2816075607766688,56.898667626740725,26,37.8046948581032,158,1,2,3,4,42.8637770771916,51.056485390949916,3.30548231564725
50,14,2,0.2081074519092639,57.80950937919582,10,167.79718715426444,143,1,1,2,5,22.721938701817553,55.08567591300345,8.236354474733421
104,10,5,0.8160002609737628,30.991712852388694,58,252.27195738178145,77,0,1,1,5,97.75385327352066,51.845726052215554,6.012514945294923
132,2,4,0.5638920026633684,42.50256205463689,89,111.134347302952,195,1,2,3,1,39.916200445465336,84.73222634916151,8.951882952888234
2,1,1,0.3604110568398181,42.02538521598748,32,238.6433723572031,100,1,1,1,4,26.04148042006129,105.45924266881107,9.74956827984282
134,10,2,0.9321287982121961,41.90226543927034,93,13.232295464609551,147,0,1,1,3,47.68830045606229,57.699334261215064,3.1983160305758975
54,9,5,0.6815070983579101,36.74995121081037,48,114.14801490025346,20,1,0,1,1,92.55498054229973,65.28409956549588,9.546260880894465
106,2,3,0.9429862777748848,31.709106061967447,0,183.4445961668163,54,1,3,1,4,45.54464431397958,87.51700494978803,5.456231745437579
4,4,5,0.32881639639813853,18.80775428947141,94,233.286707992957,58,0,0,1,2,34.61605960102687,81.52054057856662,6.149284233345085
54,14,0,0.8798247519350371,38.73436934369737,11,20.23140099202432,198,1,2,2,3,79.983910913168,45.55714285290455,6.042490873648045
191,3,1,0.869342892161158,11.587020131761891,62,35.016056659980514,89,1,0,2,4,57.07446772567053,79.46223645285939,7.055034044550204
146,16,0,0.9074178841683488,56.45874954380894,68,89.63886641626686,199,0,0,1,5,81.92924628298832,67.06308354252417,3.5391023461407025
44,0,2,0.8356923071168303,56.998555905432895,87,72.17170457276937,42,1,0,2,5,98.3495354395989,19.708061822007338,9.13656484129558
162,0,1,0.8255373347894568,57.907502103464154,51,180.0769267104003,1,0,1,3,5,116.64493768942879,114.84725484238926,7.472591713360145
190,11,3,0.8641019117318219,13.294800988862711,31,51.16916844142666,138,1,2,3,1,58.94935962493376,58.96697417701302,6.935347772174218
14,9,6,0.9063596474458386,29.03432437552827,19,207.27894367103724,92,1,3,2,3,119.68585241992669,106.64039953998508,6.733850575418076
